Designator,LCSC,Mfr,MPN,Package,Life_3yr,Note
PTC_SNS,C12430,Bourns,MF-MSMF010-2,1812,60V 0.1A,Already mid. 60V hold 0.1A.
C3,C88734,Rubycon,50TZV47M6.3X8,D6.3x8 Al,105C 2000h,Mid JP Al 47u/50V. Panasonic FT was $0.36.
C5,C110164,Rubycon,16TZV100M6.3X6.1,D6.3x6.1 Al,105C 2000h,Mid JP Al 100u/16V.
C10,C88734,Rubycon,50TZV47M6.3X8,D6.3x8 Al,105C 2000h,Same 47u/50V as C3.
C20,C178595,Panasonic,EEEFT1H221GP,D8x10.2 Al,105C 5000h,Genuine Panasonic 220u/50V 8mm 5000h. Honor generic removed.
C20B,C88734,Rubycon,50TZV47M6.3X8,D6.3x8 Al,105C 2000h,Same 47u/50V as C3.
C21,C88734,Rubycon,50TZV47M6.3X8,D6.3x8 Al,105C 2000h,Same 47u/50V as C3.
C11,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Already cheap Samsung 100n.
C24,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C24B,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C26,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C27,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C31,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C51,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C52,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C53,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C_V3,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,CH340 V3 decouple. Do not tie V3 to AMS1117.
C_MCU,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C_NRST,C1711,Samsung Electro-Mechanics,CL21B104KBCNNNC,0805 X7R 50V,X7R 125C,Same
C_MCU2,C28323,Samsung Electro-Mechanics,CL21B105KBFNNNE,0805 X7R 50V,X7R 125C,JLC Basic 1u 50V.
Cbst,C1710,Samsung Electro-Mechanics,CL21B103KBANNNC,0805 X7R 50V,X7R 125C,10n bootstrap. JLC Basic.
Cc,C107149,YAGEO,CC0805KRX7R9BB332,0805 X7R 50V,X7R 125C,3.3n COMP. Yageo mid vs Murata C0G.
C_XI,C1804,Samsung Electro-Mechanics,CL21C220JBANNNC,0805 C0G 50V,C0G,22p NP0. JLC Basic.
C_XO,C1804,Samsung Electro-Mechanics,CL21C220JBANNNC,0805 C0G 50V,C0G,Same
R1,C17673,UNI-ROYAL,0805W8F4701T5E,0805 4k7 1%,-55..155C,JLC Basic
R2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R2B,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R10,C17958,UNI-ROYAL,1206W4F220JT5E,1206 22R 1% 250mW,-55..155C,1206 22R SNS.
R44,C17520,UNI-ROYAL,0805W8F2201T5E,0805 2k2 1%,-55..155C,JLC Basic
R45,C17520,UNI-ROYAL,0805W8F2201T5E,0805 2k2 1%,-55..155C,JLC Basic
R46,C17520,UNI-ROYAL,0805W8F2201T5E,0805 2k2 1%,-55..155C,JLC Basic
R47,C17513,UNI-ROYAL,0805W8F1001T5E,0805 1k 1%,-55..155C,JLC Basic
R48,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R49,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R50,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R51,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
Rfb1,C17740,UNI-ROYAL,0805W8F5232T5E,0805 52.3k 1%,-55..155C,Sets 5V with Rfb2 10k. Do not substitute.
Rfb2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_FREQ,C17415,UNI-ROYAL,0805W8F1003T5E,0805 100k 1%,-55..155C,MP1584EN FREQ→GND. 100k ≈ 0.9 MHz. EN left floating (abs max 6V).
R_BOOT,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_NRST,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_PWR_FLT,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_SWDIO,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_VIB_FLT,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,JLC Basic
R_PD_PWM1,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,P4.5 fail-safe PD
R_PD_PWM2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,P4.5 fail-safe PD
R_PD_EN1,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,P4.5 fail-safe PD
R_PD_EN2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,P4.5 fail-safe PD
R_PD_VIB,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,P4.5 fail-safe PD
R_PD_STEP,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,STEP noise PD
R_PD_DIR,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,DIR noise PD
R_PD_STEP2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,STEP2 noise PD
R_PD_DIR2,C17414,UNI-ROYAL,0805W8F1002T5E,0805 10k 1%,-55..155C,DIR2 noise PD
